iter	Passed	Remaining
0	14	14654
1	28	14034
2	40	13400
3	52	13138
4	65	13004
5	79	13090
6	92	13072
7	103	12861
8	117	12916
9	129	12864
10	142	12799
11	153	12664
12	166	12615
13	178	12546
14	189	12426
15	200	12325
16	212	12301
17	225	12284
18	237	12260
19	248	12163
20	260	12127
21	272	12103
22	283	12051
23	295	12001
24	308	12032
25	321	12050
26	333	12027
27	345	11987
28	357	11984
29	370	11991
30	383	11997
31	396	11983
32	408	11970
33	422	11998
34	434	11973
35	448	12013
36	460	11976
37	472	11972
38	485	11961
39	497	11944
40	509	11922
41	522	11909
42	534	11895
43	547	11900
44	558	11851
45	571	11845
46	585	11871
47	598	11866
48	610	11843
49	621	11807
50	633	11792
51	645	11776
52	658	11770
53	669	11730
54	682	11720
55	693	11692
56	705	11665
57	786	12768
58	812	12951
59	823	12909
60	836	12871
61	848	12842
62	862	12820
63	875	12802
64	888	12773
65	898	12720
66	912	12701
67	925	12683
68	938	12664
69	950	12633
70	962	12599
71	974	12558
72	987	12537
73	999	12508
74	1012	12487
75	1024	12455
76	1037	12438
77	1050	12412
78	1064	12412
79	1076	12384
80	1089	12361
81	1101	12327
82	1114	12312
83	1127	12290
84	1139	12267
85	1151	12241
86	1164	12221
87	1178	12211
88	1189	12172
89	1202	12153
90	1214	12134
91	1227	12119
92	1238	12083
93	1250	12056
94	1262	12029
95	1275	12010
96	1287	11984
97	1299	11962
98	1313	11954
99	1327	11943
100	1340	11931
101	1351	11898
102	1364	11884
103	1376	11863
104	1387	11823
105	1399	11804
106	1412	11790
107	1426	11779
108	1438	11760
109	1450	11739
110	1462	11716
111	1475	11698
112	1489	11688
113	1502	11675
114	1513	11644
115	1524	11620
116	1537	11600
117	1548	11571
118	1559	11543
119	1571	11527
120	1584	11513
121	1596	11492
122	1609	11478
123	1621	11453
124	1633	11435
125	1645	11412
126	1658	11402
127	1671	11385
128	1682	11362
129	1693	11336
130	1706	11320
131	1760	11574
132	1785	11641
133	1807	11683
134	1819	11657
135	1831	11638
136	1843	11615
137	1856	11595
138	1869	11582
139	1882	11562
140	1894	11542
141	1909	11537
142	1920	11510
143	1933	11495
144	1945	11471
145	1957	11448
146	1968	11420
147	1979	11394
148	1990	11369
149	2003	11353
150	2015	11332
151	2027	11312
152	2038	11287
153	2051	11272
154	2064	11256
155	2078	11247
156	2091	11229
157	2103	11210
158	2114	11182
159	2127	11167
160	2141	11158
161	2152	11136
162	2164	11114
163	2176	11095
164	2188	11076
165	2202	11063
166	2214	11045
167	2225	11020
168	2237	11002
169	2249	10982
170	2261	10962
171	2273	10942
172	2286	10931
173	2299	10914
174	2312	10902
175	2324	10882
176	2339	10875
177	2350	10854
178	2363	10838
179	2373	10814
180	2385	10793
181	2398	10779
182	2411	10766
183	2422	10744
184	2434	10726
185	2447	10710
186	2458	10690
187	2469	10665
188	2482	10651
189	2494	10636
190	2506	10618
191	2519	10602
192	2531	10584
193	2543	10568
194	2556	10554
195	2567	10531
196	2579	10513
197	2590	10491
198	2603	10478
199	2616	10467
200	2630	10456
201	2644	10447
202	2656	10431
203	2667	10407
204	2678	10388
205	2690	10371
206	2702	10351
207	2714	10334
208	2725	10315
209	2738	10303
210	2751	10289
211	2762	10267
212	2774	10253
213	2788	10240
214	2801	10229
215	2813	10211
216	2825	10195
217	2840	10188
218	2851	10170
219	2863	10151
220	2876	10138
221	2888	10124
222	2902	10112
223	2913	10092
224	2924	10073
225	2936	10055
226	2948	10040
227	2960	10024
228	2971	10006
229	2984	9991
230	2996	9975
231	3008	9957
232	3020	9942
233	3034	9932
234	3045	9915
235	3060	9909
236	3071	9888
237	3083	9873
238	3095	9857
239	3108	9843
240	3118	9821
241	3130	9806
242	3141	9787
243	3152	9768
244	3165	9753
245	3176	9737
246	3187	9717
247	3201	9706
248	3213	9690
249	3225	9675
