iter	RMSE
0	3706.498252
1	3413.852966
2	3141.679712
3	2894.021926
4	2664.672341
5	2464.544692
6	2280.853354
7	2112.402577
8	1959.000325
9	1820.153125
10	1698.535465
11	1589.209251
12	1487.295218
13	1395.868705
14	1317.78754
15	1242.94399
16	1175.570687
17	1114.18248
18	1061.144402
19	1012.239486
20	970.5378123
21	932.4262185
22	896.8417833
23	865.0531488
24	838.456227
25	814.6445101
26	793.2158441
27	775.5055466
28	758.097983
29	743.3815045
30	729.6010312
31	718.2727905
32	707.686221
33	698.6606526
34	689.9363057
35	682.2381298
36	674.6530853
37	668.5169448
38	662.9130713
39	657.1665376
40	652.2015597
41	648.0575331
42	644.5765587
43	641.0299348
44	637.7047151
45	634.292402
46	631.3146307
47	628.3443147
48	625.9688377
49	623.6727911
50	621.697268
51	619.8319486
52	618.1137086
53	616.4878085
54	614.942321
55	613.4350035
56	612.1156897
57	610.8483685
58	609.8086796
59	608.2446666
60	606.987411
61	606.0591805
62	605.1646948
63	604.1551671
64	602.9288192
65	602.0665601
66	601.1965264
67	600.4872487
68	599.8565222
69	598.7349834
70	598.0613236
71	597.0889246
72	596.4442356
73	595.7280533
74	595.1995653
75	594.2552861
76	593.4675704
77	592.8869118
78	592.275674
79	591.8275698
80	591.0635854
81	590.6215245
82	590.1204129
83	589.8326485
84	589.467786
85	589.1021425
86	588.6805735
87	588.4061431
88	587.988558
89	587.7246893
90	587.4609081
91	587.1089287
92	586.8839993
93	586.6477254
94	586.1073003
95	585.7872487
96	585.5165829
97	585.2455092
98	584.858518
99	584.6604363
100	584.4618645
101	584.2949004
102	583.8216907
103	583.6219774
104	583.4051264
105	583.154459
106	582.840748
107	582.3722927
108	582.198514
109	581.846374
110	581.6237445
111	581.4554848
112	581.2886732
113	580.9946884
114	580.8117905
115	580.5812919
116	580.4226952
117	580.2996468
118	580.0408488
119	579.8708813
120	579.7291305
121	579.5471655
122	579.4329987
123	579.3052274
124	579.0872285
125	578.9761733
126	578.8596219
127	578.6916785
128	578.4240715
