iter	Passed	Remaining
0	16	16932
1	30	15202
2	44	14721
3	57	14335
4	71	14163
5	84	13980
6	96	13667
7	107	13390
8	121	13431
9	135	13408
10	149	13397
11	161	13316
12	175	13339
13	188	13286
14	202	13274
15	215	13259
16	227	13181
17	241	13152
18	256	13234
19	269	13205
20	284	13283
21	297	13238
22	310	13181
23	324	13204
24	338	13198
25	353	13244
26	367	13257
27	380	13225
28	394	13204
29	408	13209
30	421	13186
31	436	13209
32	450	13205
33	463	13173
34	477	13157
35	491	13161
36	504	13125
37	517	13100
38	531	13097
39	547	13131
40	560	13111
41	572	13050
42	585	13041
43	599	13034
44	612	12999
45	625	12979
46	639	12957
47	652	12940
48	664	12889
49	677	12877
50	690	12855
51	705	12859
52	717	12824
53	730	12805
54	743	12775
55	757	12762
56	768	12719
57	781	12689
58	795	12683
59	807	12658
60	820	12625
61	831	12584
62	845	12568
63	858	12561
64	874	12574
65	889	12581
66	904	12595
67	915	12541
68	928	12528
69	941	12510
70	955	12497
71	969	12494
72	983	12484
73	994	12446
74	1008	12436
75	1021	12418
76	1034	12396
77	1045	12356
78	1060	12362
79	1072	12335
80	1085	12315
81	1098	12300
82	1113	12302
83	1124	12265
84	1138	12256
85	1151	12241
86	1165	12233
87	1180	12235
88	1193	12216
89	1204	12183
90	1216	12155
91	1230	12140
92	1241	12105
93	1252	12076
94	1267	12071
95	1281	12066
96	1295	12063
97	1310	12063
98	1332	12128
99	1346	12114
100	1359	12100
101	1371	12078
102	1386	12071
103	1398	12051
104	1410	12023
105	1424	12013
106	1436	11986
107	1450	11980
108	1465	11979
109	1479	11970
110	1492	11950
111	1506	11942
112	1520	11937
113	1536	11941
114	1547	11910
115	1561	11899
116	1575	11892
117	1589	11883
118	1603	11868
119	1616	11850
120	1627	11824
121	1641	11810
122	1655	11806
123	1669	11793
124	1680	11766
125	1696	11766
126	1709	11753
127	1723	11738
128	1737	11733
129	1752	11727
130	1764	11703
131	1776	11683
132	1791	11675
133	1804	11664
134	1817	11645
135	1830	11627
136	1841	11602
137	1853	11580
138	1868	11571
139	1884	11578
140	1897	11562
141	1909	11537
142	1922	11520
143	1934	11500
144	1947	11485
145	1964	11491
146	1976	11466
147	1987	11444
148	2001	11429
149	2013	11408
150	2025	11388
151	2039	11378
152	2052	11360
153	2064	11341
154	2078	11328
155	2091	11316
156	2104	11300
157	2117	11284
158	2129	11265
159	2142	11246
160	2158	11249
161	2171	11234
162	2183	11214
163	2195	11194
164	2210	11185
165	2222	11165
166	2234	11144
167	2246	11126
168	2258	11106
169	2272	11094
170	2283	11071
171	2296	11054
172	2312	11053
173	2326	11042
174	2339	11030
175	2353	11018
176	2368	11012
177	2386	11021
178	2401	11016
179	2418	11018
180	2430	10996
181	2442	10977
182	2455	10964
183	2468	10946
184	2481	10931
185	2495	10919
186	2507	10900
187	2521	10890
188	2535	10879
189	2547	10860
190	2557	10834
191	2571	10820
192	2584	10807
193	2599	10800
194	2612	10786
195	2626	10772
196	2641	10765
197	2655	10757
198	2669	10746
199	2682	10730
200	2696	10717
201	2706	10693
202	2720	10680
203	2732	10662
204	2746	10652
205	2759	10636
206	2771	10619
207	2786	10608
208	2800	10597
209	2813	10583
210	2827	10572
211	2840	10558
212	2853	10544
213	2866	10527
214	2878	10511
215	2891	10494
216	2903	10476
217	2918	10467
218	2931	10453
219	2943	10435
220	2956	10421
221	2968	10402
222	2981	10387
223	2994	10373
224	3007	10359
225	3025	10360
226	3038	10348
227	3050	10327
228	3063	10313
229	3077	10303
230	3090	10288
231	3103	10273
232	3116	10257
233	3129	10244
234	3143	10234
235	3157	10221
236	3173	10216
237	3185	10200
238	3198	10184
239	3212	10173
240	3229	10169
241	3241	10153
242	3254	10138
243	3268	10125
244	3282	10113
245	3294	10097
246	3308	10085
247	3322	10074
248	3334	10056
249	3347	10041
250	3360	10027
251	3372	10010
252	3384	9992
253	3396	9975
254	3408	9956
255	3421	9944
256	3436	9936
257	3449	9921
258	3463	9908
259	3475	9890
260	3487	9873
261	3500	9859
262	3512	9843
263	3523	9822
264	3536	9807
265	3549	9794
266	3561	9777
267	3575	9764
268	3587	9749
269	3600	9734
270	3615	9724
271	3627	9707
272	3639	9690
273	3653	9680
274	3668	9670
275	3683	9661
276	3695	9646
277	3709	9632
278	3720	9615
279	3732	9598
280	3745	9584
281	3758	9569
282	3770	9552
283	3784	9541
284	3797	9526
285	3809	9510
286	3823	9497
287	3834	9480
288	3848	9467
289	3862	9457
290	3873	9438
291	3887	9424
292	3899	9408
293	3912	9395
294	3926	9383
295	3938	9367
296	3950	9351
297	3962	9333
298	3974	9318
299	3987	9303
300	4000	9290
301	4013	9276
302	4024	9258
303	4038	9246
304	4052	9233
305	4065	9220
306	4130	9323
307	4154	9333
308	4166	9318
309	4181	9306
310	4195	9294
311	4209	9282
312	4220	9264
313	4233	9248
314	4246	9234
315	4259	9218
316	4271	9204
317	4287	9195
318	4301	9182
319	4315	9171
320	4329	9158
321	4344	9147
322	4356	9130
323	4369	9116
324	4382	9102
325	4394	9086
326	4407	9070
327	4420	9055
328	4432	9040
329	4447	9030
330	4462	9018
331	4477	9008
332	4495	9004
333	4508	8990
334	4520	8974
335	4533	8959
336	4547	8946
337	4560	8932
338	4574	8919
339	4587	8905
340	4599	8889
341	4614	8877
342	4626	8862
343	4640	8849
344	4652	8832
345	4664	8817
346	4678	8803
347	4692	8792
348	4706	8778
349	4717	8761
350	4731	8748
351	4744	8733
352	4757	8720
353	4771	8706
354	4783	8691
355	4795	8675
356	4808	8661
357	4821	8646
358	4832	8628
359	4846	8615
360	4859	8601
361	4873	8589
362	4886	8574
363	4900	8563
364	4913	8547
365	4925	8531
366	4938	8517
367	4951	8504
368	4965	8490
369	4977	8475
370	4990	8460
371	5003	8446
372	5016	8432
373	5026	8413
374	5039	8399
375	5051	8384
376	5065	8370
377	5080	8359
378	5093	8345
379	5107	8333
380	5120	8319
381	5133	8305
382	5146	8291
383	5156	8272
384	5169	8257
385	5181	8242
386	5194	8227
387	5207	8213
388	5221	8201
389	5232	8184
390	5245	8170
391	5256	8152
392	5269	8138
393	5282	8124
394	5295	8110
395	5307	8094
396	5321	8083
397	5334	8069
398	5346	8053
399	5359	8038
400	5370	8022
401	5382	8007
402	5393	7990
403	5405	7974
404	5419	7962
405	5433	7949
406	5446	7934
407	5458	7919
408	5471	7906
409	5483	7890
410	5496	7876
411	5509	7862
412	5522	7849
413	5535	7835
414	5546	7819
415	5558	7802
416	5571	7789
417	5583	7773
418	5597	7761
419	5611	7748
420	5627	7738
421	5638	7723
422	5652	7710
423	5664	7695
424	5676	7680
425	5690	7667
426	5705	7655
427	5718	7643
428	5732	7630
429	5744	7615
430	5759	7603
431	5771	7589
432	5784	7574
433	5796	7559
434	5807	7543
435	5819	7528
436	5832	7514
437	5844	7499
438	5856	7484
439	5867	7467
440	5880	7453
441	5890	7436
442	5904	7424
443	5917	7409
444	5931	7398
445	5943	7382
446	5955	7367
447	5966	7351
448	5980	7339
449	5994	7326
450	6006	7311
451	6019	7297
452	6032	7284
453	6046	7271
454	6059	7258
455	6072	7244
456	6085	7231
457	6097	7216
458	6109	7200
459	6121	7186
460	6133	7171
461	6149	7160
462	6161	7146
463	6173	7131
464	6185	7116
465	6197	7102
466	6209	7086
467	6224	7075
468	6238	7062
469	6249	7046
470	6263	7034
471	6274	7019
472	6288	7006
473	6300	6991
474	6312	6976
475	6324	6961
476	6337	6948
477	6350	6935
478	6365	6923
479	6378	6910
480	6392	6897
481	6406	6884
482	6418	6870
483	6430	6855
484	6444	6842
485	6457	6829
486	6470	6815
487	6484	6803
488	6496	6789
489	6510	6775
490	6523	6762
491	6537	6749
492	6550	6736
493	6564	6724
494	6579	6712
495	6593	6699
496	6605	6685
497	6617	6670
498	6631	6658
499	6645	6645
500	6657	6630
501	6670	6617
502	6683	6603
503	6698	6592
504	6710	6577
505	6723	6563
506	6735	6549
507	6747	6535
508	6762	6523
509	6778	6512
510	6801	6508
511	6814	6495
512	6829	6483
513	6841	6468
514	6853	6454
515	6865	6439
516	6877	6425
517	6890	6411
518	6903	6397
519	6915	6383
520	6927	6369
521	6939	6354
522	6951	6340
523	6963	6325
524	6975	6311
525	6989	6298
526	7001	6284
527	7014	6270
528	7028	6258
529	7041	6244
530	7053	6230
531	7066	6216
532	7080	6203
533	7092	6189
534	7105	6175
535	7118	6162
536	7130	6147
537	7145	6135
538	7157	6121
539	7170	6108
540	7184	6095
541	7196	6081
542	7210	6068
543	7222	6054
544	7235	6040
545	7247	6026
546	7261	6013
547	7273	5999
548	7286	5985
549	7299	5972
550	7310	5956
551	7321	5942
552	7333	5928
553	7348	5916
554	7360	5901
555	7373	5888
556	7387	5875
557	7399	5861
558	7412	5847
559	7427	5836
560	7439	5821
561	7450	5806
562	7463	5792
563	7475	5779
564	7490	5766
565	7503	5753
566	7516	5740
567	7529	5726
568	7541	5712
569	7554	5698
570	7567	5685
571	7580	5672
572	7593	5658
573	7607	5646
574	7621	5633
575	7635	5620
576	7648	5607
577	7661	5593
578	7674	5580
579	7686	5566
580	7699	5552
581	7714	5540
582	7726	5526
583	7740	5513
584	7752	5499
585	7763	5484
586	7777	5471
587	7789	5457
588	7801	5443
589	7814	5430
590	7829	5418
591	7841	5404
592	7853	5390
593	7866	5376
594	7878	5362
595	7891	5349
596	7904	5335
597	7917	5322
598	7929	5308
599	7942	5294
600	7953	5280
601	7965	5266
602	7978	5252
603	7991	5239
604	8003	5225
605	8017	5213
606	8029	5198
607	8042	5185
608	8057	5173
609	8071	5160
610	8083	5146
611	8096	5133
612	8107	5118
613	8121	5105
614	8131	5090
